scenario,method,runs,seeds,window_n_mean,delay_mae_mean,delay_mae_std,risk_mae_mean,risk_mae_std,p95_mae_mean,p95_mae_std,p99_mae_mean,p99_mae_std,violation_mae_mean,violation_mae_std,safe_coverage_mean,safe_coverage_std,avg_conservativeness_mean,avg_conservativeness_std,screening_auroc_mean,screening_auroc_std,precision_at_10_mean,precision_at_10_std,recall_at_10_mean,recall_at_10_std,calibration_ece_mean,calibration_ece_std
drift_mild,ablation_m1_only,20,11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;7;71;73;79;83,250,0.06827147377,0.01072080619,0.2381676591,0.02955780443,0.2530285705,0.02170220558,0.3166953485,0.02415204501,0.05684502355,0.008520368777,0.9056,0.02757267908,0.4049022319,0.1019559406,0.8519644444,0.04204581826,0.42,0.07511394853,0.42,0.07511394853,0.4194208468,0.08983219593
drift_mild,ablation_no_margin,20,11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;7;71;73;79;83,250,0.05968194938,0.009167999748,0.1993403843,0.02480907608,0.1712509386,0.01799602183,0.2058961467,0.01982307654,0.05853897952,0.007598707702,0.3036,0.02939101187,-0.1141670109,0.03127529361,0.8548355556,0.04128489547,0.422,0.08049844719,0.422,0.08049844719,0.1344958507,0.02502530511
drift_mild,ablation_no_vacation,20,11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;7;71;73;79;83,250,0.0599131071,0.009183503011,0.2017502037,0.02506246278,0.1789464379,0.01824872411,0.2175453363,0.02015162474,0.05840182785,0.007484960622,0.9006,0.03153010258,0.3211966761,0.09656590139,0.8548088889,0.04138182806,0.422,0.08049844719,0.422,0.08049844719,0.3278284258,0.08734714713
drift_mild,blackbox_delay,20,11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;7;71;73;79;83,250,0.06041241348,0.01095060917,0.1872122408,0.02859322573,0.1463931378,0.01855485603,0.1635754759,0.0189724105,25109504.77,107536967.1,0.4224,0.03676153596,-0.1283181637,0.03346311758,0.8497688889,0.04065255781,0.402,0.08049844719,0.402,0.08049844719,0.1321361917,0.03086797083
drift_mild,direct_p95_conformal,20,11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;7;71;73;79;83,250,0.06041241348,0.01095060917,0.2068997031,0.02804703732,0.1463931378,0.01855485603,0.1635754759,0.0189724105,25109504.77,107536967.1,0.7956,0.03259706154,0.05320428521,0.0496984394,0.84584,0.04178931382,0.404,0.08197560613,0.404,0.08197560613,0.1319848705,0.02155875174
drift_mild,direct_risk_conformal,20,11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;7;71;73;79;83,250,0.06041241348,0.01095060917,0.1872122408,0.02859322573,0.1463931378,0.01855485603,0.1635754759,0.0189724105,25109504.77,107536967.1,0.8548,0.03734561202,0.1424559027,0.08570270465,0.8497688889,0.04065255781,0.402,0.08049844719,0.402,0.08049844719,0.185734126,0.05346777698
drift_mild,kingman_no_vacation,20,11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;7;71;73;79;83,250,0.06827147377,0.01072080619,0.2381676591,0.02955780443,0.2530285705,0.02170220558,0.3166953485,0.02415204501,0.05684502355,0.008520368777,0.9056,0.02757267908,0.4049022319,0.1019559406,0.8519644444,0.04204581826,0.42,0.07511394853,0.42,0.07511394853,0.4194208468,0.08983219593
drift_mild,oracle_queueing,20,11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;7;71;73;79;83,250,0.05511010356,0.01724655867,0.1664301539,0.03152208578,0.1460563725,0.03188638608,0.1867770242,0.0390452077,0.0504512928,0.005880125285,0.3548,0.03065873276,0.07338588244,0.02788572811,0.9798044444,0.009027485573,0.782,0.06677535001,0.782,0.06677535001,0.1323998245,0.02871969709
drift_mild,persistence_ewma_safe,20,11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;7;71;73;79;83,250,0.1029925375,0.01936505357,0.3125820733,0.05054421778,0.2368382138,0.03376247638,0.2626860029,0.03500517424,0.08854041433,0.01395994693,0.936,0.02202391045,0.7178445875,0.1277720044,0.5209066667,0.06460980181,0.11,0.07440995972,0.11,0.07440995972,0.7178445875,0.1277720044
drift_mild,proposed_adaptive_margin,20,11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;7;71;73;79;83,250,0.05968194938,0.009167999748,0.1993403843,0.02480907608,0.1712509386,0.01799602183,0.2058961467,0.01982307654,0.05853897952,0.007598707702,0.9338,0.02577554941,0.5141718023,0.1218124579,0.85472,0.0419460233,0.422,0.08153785043,0.422,0.08153785043,0.5144731629,0.1214598207
