method,n,risk_mae,p95_mae,violation_mae,safe_coverage,avg_conservativeness,screening_auroc,recall_at_10,fold,train_seeds,test_seeds
ns3_lagged_safe,144,0.13807292234590132,0.0005873478065671592,0.3414338165487928,0.8888888888888888,0.2203372578706608,0.9298387096774193,0.3,1,13;17;19;23;29;31;37;41,7;11
ns3_direct_nomargin,144,0.13807292234590132,0.0005873478065671592,0.3414338165487928,0.5625,0.03303102123479941,0.9298387096774193,0.3,1,13;17;19;23;29;31;37;41,7;11
ns3_ewma_safe,144,0.06229413898725696,0.0007888719991078314,0.041444630587238525,0.9027777777777778,0.02192357034293068,0.9991935483870967,0.75,1,13;17;19;23;29;31;37;41,7;11
ns3_background_rate,144,0.3581678896310099,0.0005873478065671592,0.3414338165487928,0.8472222222222222,0.1897643979561978,0.785483870967742,0.0,1,13;17;19;23;29;31;37;41,7;11
ns3_lagged_safe,144,0.10156053783028436,0.0004396946027129577,0.12015683272009826,0.8819444444444444,0.16396800849334442,0.967741935483871,0.55,2,7;11;19;23;29;31;37;41,13;17
ns3_direct_nomargin,144,0.10156053783028436,0.0004396946027129577,0.12015683272009826,0.5416666666666666,-0.013263050889190648,0.967741935483871,0.55,2,7;11;19;23;29;31;37;41,13;17
ns3_ewma_safe,144,0.05956273039614842,0.0006258986755377122,0.03967807325292581,0.9097222222222222,0.02373389741085037,0.9991935483870967,0.75,2,7;11;19;23;29;31;37;41,13;17
ns3_background_rate,144,0.3567626815689716,0.0004396946027129577,0.12015683272009826,0.8472222222222222,0.17800165852040736,0.785483870967742,0.0,2,7;11;19;23;29;31;37;41,13;17
ns3_lagged_safe,144,0.0796148224235566,0.000531715260522585,0.10776556038963517,0.9097222222222222,0.16146194751540321,0.9919354838709677,0.65,3,7;11;13;17;29;31;37;41,19;23
ns3_direct_nomargin,144,0.0796148224235566,0.000531715260522585,0.10776556038963517,0.5069444444444444,-0.018157182008156927,0.9919354838709677,0.65,3,7;11;13;17;29;31;37;41,19;23
ns3_ewma_safe,144,0.05932769696574688,0.0006599806984109761,0.039467996485825795,0.875,0.020461730490639034,1.0,0.75,3,7;11;13;17;29;31;37;41,19;23
ns3_background_rate,144,0.3559800209989413,0.000531715260522585,0.10776556038963517,0.8472222222222222,0.1794241460602792,0.785483870967742,0.0,3,7;11;13;17;29;31;37;41,19;23
ns3_lagged_safe,144,0.09057592785823594,0.0005648702372527989,0.1284100304938448,0.8958333333333334,0.1646450656334442,0.9838709677419355,0.65,4,7;11;13;17;19;23;37;41,29;31
ns3_direct_nomargin,144,0.09057592785823594,0.0005648702372527989,0.1284100304938448,0.5763888888888888,-0.023361765051989985,0.9838709677419355,0.65,4,7;11;13;17;19;23;37;41,29;31
ns3_ewma_safe,144,0.0625856915625314,0.000631122578055073,0.04166204225342678,0.9097222222222222,0.024565062025257513,0.9983870967741936,0.75,4,7;11;13;17;19;23;37;41,29;31
ns3_background_rate,144,0.35403824970555,0.0005648702372527989,0.1284100304938448,0.8472222222222222,0.1871364331566832,0.785483870967742,0.0,4,7;11;13;17;19;23;37;41,29;31
ns3_lagged_safe,144,0.08294544022939793,0.00046884814746525665,0.08821782745460771,0.8958333333333334,0.15149772728688607,0.9975806451612903,0.7,5,7;11;13;17;19;23;29;31,37;41
ns3_direct_nomargin,144,0.08294544022939793,0.00046884814746525665,0.08821782745460771,0.6111111111111112,-0.01891092270799463,0.9975806451612903,0.7,5,7;11;13;17;19;23;29;31,37;41
ns3_ewma_safe,144,0.05884200192006699,0.0005729572121768902,0.03920522069202343,0.8958333333333334,0.019884506397369002,0.9983870967741936,0.75,5,7;11;13;17;19;23;29;31,37;41
ns3_background_rate,144,0.3531429826364585,0.00046884814746525665,0.08821782745460771,0.8472222222222222,0.1682452705287041,0.785483870967742,0.0,5,7;11;13;17;19;23;29;31,37;41
