scenario,seed,window_id,window_start,window_end,target_packets,target_received,background_packets,loss_rate,target_rate,background_rate,mean_delay,p95_delay,p99_delay,received_violation_prob,violation_prob
drift_strong,11,0,5.0,15.0,246,246,354,0.0,24.6,35.4,0.002301242317073171,0.0031333224999999998,0.004440183500000002,0.0,0.0
drift_strong,11,1,15.0,25.0,254,24,363,0.905511811023622,25.4,36.3,0.0022315120833333335,0.0026489629999999985,0.0034018488999999997,0.0,0.905511811023622
drift_strong,11,2,25.0,35.0,257,0,354,1.0,25.7,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,11,3,35.0,45.0,220,0,354,1.0,22.0,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,11,4,45.0,55.0,251,0,360,1.0,25.1,36.0,0.0,0.0,0.0,0.0,1.0
drift_strong,11,5,55.0,65.0,250,0,354,1.0,25.0,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,11,6,65.0,75.0,264,0,363,1.0,26.4,36.3,0.0,0.0,0.0,0.0,1.0
drift_strong,11,7,75.0,85.0,283,0,354,1.0,28.3,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,11,8,85.0,95.0,307,0,360,1.0,30.7,36.0,0.0,0.0,0.0,0.0,1.0
drift_strong,11,9,95.0,105.0,302,0,354,1.0,30.2,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,11,10,105.0,115.0,271,0,360,1.0,27.1,36.0,0.0,0.0,0.0,0.0,1.0
drift_strong,11,11,115.0,125.0,124,0,174,1.0,12.4,17.4,0.0,0.0,0.0,0.0,1.0
drift_strong,13,0,5.0,15.0,260,260,354,0.0,26.0,35.4,0.0022559550384615382,0.002939847499999999,0.004140104700000007,0.0,0.0
drift_strong,13,1,15.0,25.0,242,23,363,0.9049586776859504,24.2,36.3,0.002434691304347826,0.004339710999999997,0.005356995600000001,0.0,0.9049586776859504
drift_strong,13,2,25.0,35.0,245,0,354,1.0,24.5,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,13,3,35.0,45.0,268,0,354,1.0,26.8,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,13,4,45.0,55.0,270,0,360,1.0,27.0,36.0,0.0,0.0,0.0,0.0,1.0
drift_strong,13,5,55.0,65.0,278,0,354,1.0,27.8,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,13,6,65.0,75.0,280,0,363,1.0,28.0,36.3,0.0,0.0,0.0,0.0,1.0
drift_strong,13,7,75.0,85.0,291,0,354,1.0,29.1,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,13,8,85.0,95.0,263,0,360,1.0,26.3,36.0,0.0,0.0,0.0,0.0,1.0
drift_strong,13,9,95.0,105.0,268,0,354,1.0,26.8,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,13,10,105.0,115.0,274,0,360,1.0,27.4,36.0,0.0,0.0,0.0,0.0,1.0
drift_strong,13,11,115.0,125.0,158,0,174,1.0,15.8,17.4,0.0,0.0,0.0,0.0,1.0
drift_strong,17,0,5.0,15.0,278,278,354,0.0,27.8,35.4,0.002324129496402878,0.003190736999999999,0.004455208800000006,0.0035971223021582736,0.0035971223021582736
drift_strong,17,1,15.0,25.0,262,18,363,0.9312977099236641,26.2,36.3,0.00214629,0.00214629,0.00214629,0.0,0.9312977099236641
drift_strong,17,2,25.0,35.0,250,0,354,1.0,25.0,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,17,3,35.0,45.0,270,0,354,1.0,27.0,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,17,4,45.0,55.0,248,0,360,1.0,24.8,36.0,0.0,0.0,0.0,0.0,1.0
drift_strong,17,5,55.0,65.0,249,0,354,1.0,24.9,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,17,6,65.0,75.0,277,0,363,1.0,27.7,36.3,0.0,0.0,0.0,0.0,1.0
drift_strong,17,7,75.0,85.0,276,0,354,1.0,27.6,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,17,8,85.0,95.0,247,0,360,1.0,24.7,36.0,0.0,0.0,0.0,0.0,1.0
drift_strong,17,9,95.0,105.0,234,0,354,1.0,23.4,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,17,10,105.0,115.0,271,0,360,1.0,27.1,36.0,0.0,0.0,0.0,0.0,1.0
drift_strong,17,11,115.0,125.0,127,0,174,1.0,12.7,17.4,0.0,0.0,0.0,0.0,1.0
drift_strong,19,0,5.0,15.0,279,279,354,0.0,27.9,35.4,0.002313668100358423,0.003432154999999997,0.004056979999999987,0.0,0.0
