scenario,seed,window_id,window_start,window_end,target_packets,target_received,background_packets,loss_rate,target_rate,background_rate,mean_delay,p95_delay,p99_delay,received_violation_prob,violation_prob
drift_strong_two_sta,11,0,5.0,15.0,246,246,354,0.0,24.6,35.4,0.0022993600406504065,0.0036408775,0.0043436735,0.0,0.0
drift_strong_two_sta,11,1,15.0,25.0,254,24,363,0.905511811023622,25.4,36.3,0.0022738416666666667,0.0033974474999999968,0.0037085918,0.0,0.905511811023622
drift_strong_two_sta,11,2,25.0,35.0,257,0,354,1.0,25.7,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong_two_sta,11,3,35.0,45.0,220,0,354,1.0,22.0,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong_two_sta,11,4,45.0,55.0,251,0,360,1.0,25.1,36.0,0.0,0.0,0.0,0.0,1.0
drift_strong_two_sta,11,5,55.0,65.0,250,0,354,1.0,25.0,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong_two_sta,11,6,65.0,75.0,264,0,363,1.0,26.4,36.3,0.0,0.0,0.0,0.0,1.0
drift_strong_two_sta,11,7,75.0,85.0,283,0,354,1.0,28.3,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong_two_sta,11,8,85.0,95.0,307,0,360,1.0,30.7,36.0,0.0,0.0,0.0,0.0,1.0
drift_strong_two_sta,11,9,95.0,105.0,302,0,354,1.0,30.2,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong_two_sta,11,10,105.0,115.0,271,0,360,1.0,27.1,36.0,0.0,0.0,0.0,0.0,1.0
drift_strong_two_sta,11,11,115.0,125.0,124,0,174,1.0,12.4,17.4,0.0,0.0,0.0,0.0,1.0
drift_strong_two_sta,13,0,5.0,15.0,260,260,354,0.0,26.0,35.4,0.0022675746153846153,0.003009804999999998,0.004101830700000003,0.0,0.0
drift_strong_two_sta,13,1,15.0,25.0,242,23,363,0.9049586776859504,24.2,36.3,0.0023727521739130434,0.0034972889999999998,0.004427035600000002,0.0,0.9049586776859504
drift_strong_two_sta,13,2,25.0,35.0,245,0,354,1.0,24.5,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong_two_sta,13,3,35.0,45.0,268,0,354,1.0,26.8,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong_two_sta,13,4,45.0,55.0,270,0,360,1.0,27.0,36.0,0.0,0.0,0.0,0.0,1.0
drift_strong_two_sta,13,5,55.0,65.0,278,0,354,1.0,27.8,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong_two_sta,13,6,65.0,75.0,280,0,363,1.0,28.0,36.3,0.0,0.0,0.0,0.0,1.0
drift_strong_two_sta,13,7,75.0,85.0,291,0,354,1.0,29.1,35.4,0.0,0.0,0.0,0.0,1.0
