seed,scenario,method,delay_mae,risk_mae,coverage,auroc,recall_at_10
7,overall,learned_descriptor,0.014458557604457942,0.04788603449484927,0.992,0.8990222222222222,0.56
7,overall,observable_descriptor,0.01764357974049664,0.05029077057924974,0.992,0.8899555555555556,0.44
7,load_high,learned_descriptor,0.10926945698614934,0.4058281549795411,0.796,0.8407111111111111,0.32
7,load_high,observable_descriptor,0.21256120446138366,0.6595121480697533,0.948,0.904,0.52
7,vacation_high,learned_descriptor,0.043343636302060715,0.169020808273811,0.96,0.9034666666666666,0.4
7,vacation_high,observable_descriptor,0.04047883230164872,0.13850846053938323,0.988,0.9310222222222222,0.44
7,drift_strong,learned_descriptor,0.7032290061335855,1.442427176435145,0.732,0.8312888888888889,0.44
7,drift_strong,observable_descriptor,0.8347434447783524,1.6264820623073466,0.876,0.8970666666666667,0.52
11,overall,learned_descriptor,0.017467090440578738,0.06527151530605546,0.936,0.8556444444444444,0.56
11,overall,observable_descriptor,0.019225455762582215,0.06570061106600923,0.964,0.8405333333333334,0.44
11,load_high,learned_descriptor,0.13896588961148593,0.5001008135620946,0.6,0.8117333333333333,0.36
11,load_high,observable_descriptor,0.21542423133129432,0.6695653398174939,0.9,0.8684444444444445,0.48
11,vacation_high,learned_descriptor,0.04286331358378299,0.15548209362234708,0.912,0.8545777777777778,0.44
11,vacation_high,observable_descriptor,0.06352999322878364,0.20470813853219885,0.964,0.8696888888888888,0.48
11,drift_strong,learned_descriptor,0.5312887246224266,1.1798022938094301,0.684,0.8257777777777778,0.52
11,drift_strong,observable_descriptor,0.5718649251697198,1.191713665098015,0.864,0.9063111111111111,0.48
13,overall,learned_descriptor,0.015587359636816196,0.05981739596225895,0.992,0.8924444444444445,0.4
13,overall,observable_descriptor,0.01789732601063989,0.0604604271343118,0.996,0.8848,0.36
13,load_high,learned_descriptor,0.152543443633061,0.5486009752850022,0.64,0.8336,0.28
13,load_high,observable_descriptor,0.22354369794463444,0.6637342133603256,0.896,0.8645333333333334,0.48
13,vacation_high,learned_descriptor,0.043375423889963946,0.1652160728861978,0.96,0.8494222222222222,0.48
13,vacation_high,observable_descriptor,0.06937116119998032,0.20906529151508607,0.988,0.8348444444444444,0.32
13,drift_strong,learned_descriptor,0.6007948240226083,1.3099610228799643,0.696,0.7934222222222223,0.4
13,drift_strong,observable_descriptor,0.6505260622676287,1.3274144473306704,0.84,0.8453333333333334,0.36
17,overall,learned_descriptor,0.015476671894431462,0.05250086802658887,0.96,0.8641777777777778,0.4
17,overall,observable_descriptor,0.016183744379344014,0.05302298731324009,0.972,0.8672,0.44
17,load_high,learned_descriptor,0.13904989243958757,0.5039786184261276,0.636,0.7555555555555555,0.2
17,load_high,observable_descriptor,0.24031346434877685,0.7254061080242075,0.896,0.8133333333333334,0.4
